[2020.04.06 11:57:11:960] EVENT,start thread Logger 32 {32} [4729]
 [ep: 1 2e4354309789759581837k20685rmwp Finished 13693] {50} [4729]
[2020.04.06 11:57:13:021] EVENT,NOTIFICATION_XRSS,CDR,1,+,JSSIP,+,46.105.182.20,139,0,2,Service Unavailable,[2e4354309789759581837k20685rmwp] {50} [4729]
[2020.04.06 11:57:13:021] CDR,1,+,JSSIP,+,46.105.182.20,139,0,2,Service Unavailable [ep: 1 2e4354309789759581837k20685rmwp Finished 13693] {50} [4729]
[2020.04.06 11:57:13:022] EVENT,Call duration: 0 sec
[2020.04.06 11:57:13:022] EVENT, stats: 

Calls> callcount: 1, allcallcount: 17, allsucccallcount: 1, plgoodcalls: 0, subsnosucccall: -24
RTP> rtppacketsent: 0, rtppacketrec: 0, rtppacketloss: 0, losspercent: 100, srv_rtppacketsent: -1, srv_rtppacketrec: -1, srv_rtppacketloss: -1, srv_rtppacketlosspercent: -1 [ep: 1 2e4354309789759581837k20685rmwp Finished 13693] {50} [4729]
[2020.04.06 11:57:13:022] EVENT,build uri rule 6677 [ep: 1 2e4354309789759581837k20685rmwp Finished 13693] {50} [4729]
[2020.04.06 11:57:13:022] EVENT, build leg rule 13 [ep: 1 2e4354309789759581837k20685rmwp Finished 13693] {50} [4729]
[2020.04.06 11:57:13:022] EVENT, build leg rule 132 [ep: 1 2e4354309789759581837k20685rmwp Finished 13693] {50} [4729]
[2020.04.06 11:57:13:022] EVENT,sending to p 46.105.182.20 (610) [ep: 1 2e4354309789759581837k20685rmwp Finished 13693] {50} [4729]
[2020.04.06 11:57:13:022] SEND,  to 46.105.182.20:5060 from port 14292
ACK sip:+@46.105.182.20 SIP/2.0
Via: SIP/2.0/UDP 176.100.192.174:14292;rport;branch=z9hG4bK-9p3821659128242063264r
From: <sip:JSSIP@46.105.182.20>;tag=4g6446283306617609909m
To: <sip:+@46.105.182.20>;tag=115739651308791
Call-ID: 2e4354309789759581837k20685rmwp
CSeq: 11326 ACK
Max-Forwards: 70
Proxy-Authorization: Digest username="JSSIP",realm="VoipSwitch",nonce="26d22eb908b79ec406111109704573914114",uri="sip:+@46.105.182.20",response="e84ad4b0469c94e672a4500bbd41790f",algorithm=MD5
X-UT: j
X-PLine: 1
User-Agent: MizuJVoIP/7.6.19061
X-FinalUA: JVoIP
X-DeviceID: aPBag5AG
Content-Length: 0

 [mt: 13693] {50} [4729]
[2020.04.06 11:57:13:022] EVENT,session disc because rejected 503 [ep: 1 2e4354309789759581837k20685rmwp Finished 13693] {50} [4729]
[2020.04.06 11:57:13:022] EVENT,switching state from Finishing to Finished from 17 [ep: 1 2e4354309789759581837k20685rmwp Finished 13693] {50} [4729]
[2020.04.06 11:57:13:022] EVENT,set deleteat 444 to 120000 [ep: 1 2e4354309789759581837k20685rmwp Finished 13693] {50} [4729]
[2020.04.06 11:57:13:023] EVENT,call end maintenance [ep: 1 2e4354309789759581837k20685rmwp Finished 13693] {50} [4729]
[2020.04.06 11:57:13:023] ERROR,503 server failure Service Unavailable
[2020.04.06 11:57:13:035] EVENT,NOTIFICATION_XRSS,STATUS,-1,Call Finished {34} [4729]
[2020.04.06 11:57:13:035] EVENT,start thread MAsyncTask 52 {52} [4729]
[2020.04.06 11:57:13:036] EVENT,async task start 18 {52} [4729]
[2020.04.06 11:57:13:036] EVENT,async task 18 finished in 0 msec {52} [4729]
[2020.04.06 11:57:13:041] EVENT,exec command 27 line: 1 params:    elapsed 31 [mt: 13693] {45} [4729]
[2020.04.06 11:57:13:041] EVENT, check presence for: ,+, /  [mt: 13693] {45} [4729]
[2020.04.06 11:57:13:041] EVENT, no presence for these contacts:  [mt: 13693] {45} [4729]
[2020.04.06 11:57:13:041] EVENT, create new presence publish ep a [mt: 13693] {45} [4729]
[2020.04.06 11:57:13:041] EVENT,init tags from: 12g5766551949498344696m to: 13p8391126678285656464h branch: 11k4031647014132025359u [ep: 0 10e1780113570031029837k20687rmwp Init 13693] {45} [4729]
[2020.04.06 11:57:13:041] EVENT, set called a to + [ep: 0 10e1780113570031029837k20687rmwp Init 13693] {45} [4729]
[2020.04.06 11:57:13:041] EVENT, set called b to + [ep: 0 10e1780113570031029837k20687rmwp Init 13693] {45} [4729]
[2020.04.06 11:57:13:041] EVENT,direct call URI parsing is not enabled a + [ep: 0 10e1780113570031029837k20687rmwp Init 13693] {45} [4729]
[2020.04.06 11:57:13:041] EVENT, new endpoint created 10e1780113570031029837k20687rmwp [ep: 0 10e1780113570031029837k20687rmwp Init 13693] {45} [4729]
[2020.04.06 11:57:13:041] EVENT, set called b to JSSIP [ep: 0 10e1780113570031029837k20687rmwp Subscribe 13693] {45} [4729]
[2020.04.06 11:57:13:041] EVENT,direct call URI parsing is not enabled a JSSIP [ep: 0 10e1780113570031029837k20687rmwp Subscribe 13693] {45} [4729]
[2020.04.06 11:57:13:041] EVENT,cseq set2 to 1212 [ep: 0 10e1780113570031029837k20687rmwp Subscribe 13693] {45} [4729]
[2020.04.06 11:57:13:042] EVENT,build uri rule 6677 [ep: 0 10e1780113570031029837k20687rmwp Subscribe 13693] {45} [4729]
[2020.04.06 11:57:13:042] EVENT, build leg rule 16 [ep: 0 10e1780113570031029837k20687rmwp Subscribe 13693] {45} [4729]
[2020.04.06 11:57:13:042] EVENT, build leg rule 1901a  (x) [ep: 0 10e1780113570031029837k20687rmwp Subscribe 13693] {45} [4729]
[2020.04.06 11:57:13:042] EVENT,sending to p 46.105.182.20 (1404) [ep: 0 10e1780113570031029837k20687rmwp Subscribe 13693] {45} [4729]
[2020.04.06 11:57:13:042] SEND,  to 46.105.182.20:5060 from port 14292
PUBLISH sip:JSSIP@46.105.182.20 SIP/2.0
Via: SIP/2.0/UDP 176.100.192.174:14292;rport;branch=z9hG4bK-13p8844070323774240085r
From: <sip:JSSIP@46.105.182.20>;tag=12g5766551949498344696m
To: <sip:JSSIP@46.105.182.20>
Call-ID: 10e1780113570031029837k20687rmwp
CSeq: 1213 PUBLISH
Max-Forwards: 70
Event: presence
Contact: <sip:JSSIP@176.100.192.174:14292>
X-UT: j
User-Agent: MizuJVoIP/7.6.19061
X-FinalUA: JVoIP
X-DeviceID: aPBag5AG
Supported: replaces
Allow: ACK,PRACK,BYE,CANCEL,INVITE,UPDATE,MESSAGE,INFO,OPTIONS,SUBSCRIBE,NOTIFY,REFER
Accept: multipart/related, application/rlmi+xml, application/pidf+xml
Content-Type: application/pidf+xml
Content-Length: 724

<?xml version="1.0" encoding="UTF-8"?>
<presence
xmlns="urn:ietf:params:xml:ns:pidf"
xmlns:dm="urn:ietf:params:xml:ns:pidf:data-model"
xmlns:rpid="urn:ietf:params:xml:ns:pidf:rpid"
xmlns:p="urn:sy-com:pidf-status-type"
xmlns:ts="urn:ietf:params:xml:ns:pidf:terminal-status"
entity="pres:JSSIP@176.100.192.174:14292">
<note>Available</note>
<tuple id="tbasic">
<status>
<basic>Open</basic>
<ts:state>Available</ts:state>
<p:im>Available</p:im>
</status>
<timestamp>2020.04.06 11:57:13</timestamp>
<contact>sip:JSSIP@176.100.192.174:14292</contact>
<note>Available</note>
</tuple>
<rpid:user-input>active</rpid:user-input>
<dm:person id="aPBag5AG">
<dm:note>Available</dm:note> </dm:person>
</presence>
 [mt: 13693] {45} [4729]
[2020.04.06 11:57:13:043] EVENT, create new presence subscriber ep for + [mt: 13693] {45} [4729]
[2020.04.06 11:57:13:043] EVENT,init tags from: 16g2770579009458563649m to: 17p8847231982302666675h branch: 15k8941324971087589679u [ep: 0 14e1830458300895194552k20688rmwp Init 13693] {45} [4729]
[2020.04.06 11:57:13:043] EVENT, set called a to + [ep: 0 14e1830458300895194552k20688rmwp Init 13693] {45} [4729]
[2020.04.06 11:57:13:043] EVENT, set called b to + [ep: 0 14e1830458300895194552k20688rmwp Init 13693] {45} [4729]
[2020.04.06 11:57:13:043] EVENT,direct call URI parsing is not enabled a + [ep: 0 14e1830458300895194552k20688rmwp Init 13693] {45} [4729]
[2020.04.06 11:57:13:043] EVENT, new endpoint created 14e1830458300895194552k20688rmwp [ep: 0 14e1830458300895194552k20688rmwp Init 13693] {45} [4729]
[2020.04.06 11:57:13:043] EVENT, set called b to + [ep: 0 14e1830458300895194552k20688rmwp Subscribe 13693] {45} [4729]
[2020.04.06 11:57:13:043] EVENT,direct call URI parsing is not enabled a + [ep: 0 14e1830458300895194552k20688rmwp Subscribe 13693] {45} [4729]
[2020.04.06 11:57:13:043] EVENT,cseq set2 to 12247 [ep: 0 14e1830458300895194552k20688rmwp Subscribe 13693] {45} [4729]
[2020.04.06 11:57:13:043] EVENT,build uri rule 6677 [ep: 0 14e1830458300895194552k20688rmwp Subscribe 13693] {45} [4729]
[2020.04.06 11:57:13:044] EVENT, build leg rule 16 [ep: 0 14e1830458300895194552k20688rmwp Subscribe 13693] {45} [4729]
[2020.04.06 11:57:13:044] EVENT, build leg rule 1901a  (x) [ep: 0 14e1830458300895194552k20688rmwp Subscribe 13693] {45} [4729]
[2020.04.06 11:57:13:044] EVENT,sending to p 46.105.182.20 (653) [ep: 0 14e1830458300895194552k20688rmwp Subscribe 13693] {45} [4729]
[2020.04.06 11:57:13:044] SEND,  to 46.105.182.20:5060 from port 14292
SUBSCRIBE sip:+@46.105.182.20 SIP/2.0
Via: SIP/2.0/UDP 176.100.192.174:14292;rport;branch=z9hG4bK-17p286934394765636704r
From: <sip:JSSIP@46.105.182.20>;tag=16g2770579009458563649m
To: <sip:+@46.105.182.20>
Call-ID: 14e1830458300895194552k20688rmwp
CSeq: 12248 SUBSCRIBE
Max-Forwards: 70
Event: presence
Expires: 3600
Contact: <sip:JSSIP@176.100.192.174:14292>
X-UT: j
User-Agent: MizuJVoIP/7.6.19061
X-FinalUA: JVoIP
X-DeviceID: aPBag5AG
Supported: replaces
Allow: ACK,PRACK,BYE,CANCEL,INVITE,UPDATE,MESSAGE,INFO,OPTIONS,SUBSCRIBE,NOTIFY,REFER
Accept: multipart/related, application/rlmi+xml, application/pidf+xml
Content-Length: 0

 [mt: 13693] {45} [4729]
[2020.04.06 11:57:13:044] EVENT, presence subscribe sent to 1 ua, already found 0 [mt: 13693] {45} [4729]
[2020.04.06 11:57:13:044] EVENT,NOTIFICATION_XRSS,STATUS,1,Finished,+,JSSIP,1,+,[2e4354309789759581837k20685rmwp],1,2,0,0,0,0,0, {45} [4729]
[2020.04.06 11:57:13:044] EVENT,STATUS,1,Finished,+,JSSIP,1,+,[2e4354309789759581837k20685rmwp],1,2,0,0,0,0,0, [mt: 13693] {45} [4729]
[2020.04.06 11:57:13:044] EVENT,NOTIFICATION_XRSS,STATUS,0,Registered,+,JSSIP,1,+,[6e5339952673226462088k20686rmwp],1,2,0,0,0,0,0, {45} [4729]
[2020.04.06 11:57:13:044] EVENT,STATUS,0,Registered,+,JSSIP,1,+,[6e5339952673226462088k20686rmwp],1,2,0,0,0,0,0, [mt: 13693] {45} [4729]
[2020.04.06 11:57:13:044] EVENT,NOTIFICATION_XRSS,STATUS,0,Subscribe,JSSIP,JSSIP,1,46.105.182.20,[10e1780113570031029837k20687rmwp],1,2,0,0,0,0,0, {45} [4729]
[2020.04.06 11:57:13:044] EVENT,STATUS,0,Subscribe,JSSIP,JSSIP,1,46.105.182.20,[10e1780113570031029837k20687rmwp],1,2,0,0,0,0,0, [mt: 13693] {45} [4729]
[2020.04.06 11:57:13:044] EVENT,NOTIFICATION_XRSS,STATUS,0,Subscribe,+,JSSIP,1,+,[14e1830458300895194552k20688rmwp],1,2,0,0,0,0,0, {45} [4729]
[2020.04.06 11:57:13:044] EVENT,STATUS,0,Subscribe,+,JSSIP,1,+,[14e1830458300895194552k20688rmwp],1,2,0,0,0,0,0, [mt: 13693] {45} [4729]
[2020.04.06 11:57:13:076] EVENT,udp packet 9 received to signaling port 14292 from 46.105.182.20:5060. length is 280 [udp localport: 14292 since: 0 ok] {50} [4729]
[2020.04.06 11:57:13:076] REC,46.105.182.20:5060 on port 14292
SIP/2.0 100 Trying
CSeq: 1213 PUBLISH
Via: SIP/2.0/UDP 192.168.55.101:14292;rport;branch=z9hG4bK-13p8844070323774240085r
From: <sip:JSSIP@46.105.182.20>;tag=12g5766551949498344696m
Call-ID: 10e1780113570031029837k20687rmwp
To: <sip:JSSIP@46.105.182.20>
Content-Length: 0

 [mt: 13693] {50} [4729]
[2020.04.06 11:57:13:076] EVENT,existing ep found for message [mt: 13693] {50} [4729]
[2020.04.06 11:57:13:076] EVENT,cseq set1 to 1213 [ep: 0 10e1780113570031029837k20687rmwp Subscribe 13693] {50} [4729]
[2020.04.06 11:57:13:076] EVENT,set fromtag 1 to: 12g5766551949498344696m [ep: 0 10e1780113570031029837k20687rmwp Subscribe 13693] {50} [4729]
[2020.04.06 11:57:13:076] REC,46.105.182.20:5060 on port 14292
SIP/2.0 401 Unauthorised
CSeq: 12248 SUBSCRIBE
Via: SIP/2.0/UDP 192.168.55.101:14292;rport;branch=z9hG4bK-17p286934394765636704r
From: <sip:JSSIP@46.105.182.20>;tag=16g2770579009458563649m
Call-ID: 14e1830458300895194552k20688rmwp
To: <sip:+@46.105.182.20>;tag=115739651308838
Contact: <sip:+@46.105.182.20>
Content-Length: 0
WWW-Authenticate: DIGEST realm="VoipSwitch", nonce="26d22f260ec26cb606111109704573914114"

 [mt: 13693] {50} [4729]
[2020.04.06 11:57:13:076] EVENT,existing ep found for message [mt: 13693] {50} [4729]
[2020.04.06 11:57:13:076] EVENT,cseq set1 to 12248 [ep: 0 14e1830458300895194552k20688rmwp Subscribe 13693] {50} [4729]
[2020.04.06 11:57:13:076] EVENT,set fromtag 1 to: 16g2770579009458563649m [ep: 0 14e1830458300895194552k20688rmwp Subscribe 13693] {50} [4729]
[2020.04.06 11:57:13:076] EVENT,set totag 1 to: 115739651308838 [ep: 0 14e1830458300895194552k20688rmwp Subscribe 13693] {50} [4729]
[2020.04.06 11:57:13:076] EVENT,resend last request [ep: 0 14e1830458300895194552k20688rmwp Subscribe 13693] {50} [4729]
[2020.04.06 11:57:13:076] EVENT,build uri rule 6677 [ep: 0 14e1830458300895194552k20688rmwp Subscribe 13693] {50} [4729]
[2020.04.06 11:57:13:077] EVENT, build leg rule 16 [ep: 0 14e1830458300895194552k20688rmwp Subscribe 13693] {50} [4729]
[2020.04.06 11:57:13:077] EVENT, build leg rule 1901a  (x) [ep: 0 14e1830458300895194552k20688rmwp Subscribe 13693] {50} [4729]
[2020.04.06 11:57:13:077] EVENT,auth after pwd parameterA JSSIP:VoipSwitch:wAXNEBaXDJ eeace1f440ea9c8ea4bb0ba705770da9 sip:+@46.105.182.20 [ep: 0 14e1830458300895194552k20688rmwp Subscribe 13693] {50} [4729]
[2020.04.06 11:57:13:077] EVENT, auth params: m1str=eeace1f440ea9c8ea4bb0ba705770da9,auth_nonce=26d22f260ec26cb606111109704573914114,username=JSSIP,auth_realm=VoipSwitch,method=SUBSCRIBE,uri=sip:+@46.105.182.20 [ep: 0 14e1830458300895194552k20688rmwp Subscribe 13693] {50} [4729]
[2020.04.06 11:57:13:077] EVENT,sending to p 46.105.182.20 (842) [ep: 0 14e1830458300895194552k20688rmwp Subscribe 13693] {50} [4729]
[2020.04.06 11:57:13:077] SEND,  to 46.105.182.20:5060 from port 14292
SUBSCRIBE sip:+@46.105.182.20 SIP/2.0
Via: SIP/2.0/UDP 176.100.192.174:14292;rport;branch=z9hG4bK-17p3150962404020312735r
From: <sip:JSSIP@46.105.182.20>;tag=16g2770579009458563649m
To: <sip:+@46.105.182.20>
Call-ID: 14e1830458300895194552k20688rmwp
CSeq: 12249 SUBSCRIBE
Max-Forwards: 70
Event: presence
Expires: 3600
Authorization: Digest username="JSSIP",realm="VoipSwitch",nonce="26d22f260ec26cb606111109704573914114",uri="sip:+@46.105.182.20",response="18bde56f578820933f8c40fe90cebb3a",algorithm=MD5
Contact: <sip:JSSIP@176.100.192.174:14292>
X-UT: j
User-Agent: MizuJVoIP/7.6.19061
X-FinalUA: JVoIP
X-DeviceID: aPBag5AG
Supported: replaces
Allow: ACK,PRACK,BYE,CANCEL,INVITE,UPDATE,MESSAGE,INFO,OPTIONS,SUBSCRIBE,NOTIFY,REFER
Accept: multipart/related, application/rlmi+xml, application/pidf+xml
Content-Length: 0

 [mt: 13693] {50} [4729]
[2020.04.06 11:57:13:077] REC,46.105.182.20:5060 on port 14292
SIP/2.0 401 Unauthorised
CSeq: 1213 PUBLISH
Via: SIP/2.0/UDP 192.168.55.101:14292;rport;branch=z9hG4bK-13p8844070323774240085r
From: <sip:JSSIP@46.105.182.20>;tag=12g5766551949498344696m
Call-ID: 10e1780113570031029837k20687rmwp
To: <sip:JSSIP@46.105.182.20>;tag=115739651308838
Content-Length: 0
WWW-Authenticate: DIGEST realm="VoipSwitch", nonce="26d22f2610635f1f06111109704573914114"

 [mt: 13693] {50} [4729]
[2020.04.06 11:57:13:077] EVENT,existing ep found for message [mt: 13693] {50} [4729]
[2020.04.06 11:57:13:077] EVENT,cseq set1 to 1213 [ep: 0 10e1780113570031029837k20687rmwp Subscribe 13693] {50} [4729]
[2020.04.06 11:57:13:077] EVENT,set totag 1 to: 115739651308838 [ep: 0 10e1780113570031029837k20687rmwp Subscribe 13693] {50} [4729]
[2020.04.06 11:57:13:077] EVENT,resend last request [ep: 0 10e1780113570031029837k20687rmwp Subscribe 13693] {50} [4729]
[2020.04.06 11:57:13:077] EVENT,build uri rule 6677 [ep: 0 10e1780113570031029837k20687rmwp Subscribe 13693] {50} [4729]
[2020.04.06 11:57:13:077] EVENT, build leg rule 13 [ep: 0 10e1780113570031029837k20687rmwp Subscribe 13693] {50} [4729]
[2020.04.06 11:57:13:077] EVENT, build leg rule 132 [ep: 0 10e1780113570031029837k20687rmwp Subscribe 13693] {50} [4729]
[2020.04.06 11:57:13:077] EVENT,auth after pwd parameterA JSSIP:VoipSwitch:wAXNEBaXDJ eeace1f440ea9c8ea4bb0ba705770da9 sip:JSSIP@46.105.182.20 [ep: 0 10e1780113570031029837k20687rmwp Subscribe 13693] {50} [4729]
[2020.04.06 11:57:13:078] EVENT, auth params: m1str=eeace1f440ea9c8ea4bb0ba705770da9,auth_nonce=26d22f2610635f1f06111109704573914114,username=JSSIP,auth_realm=VoipSwitch,method=PUBLISH,uri=sip:JSSIP@46.105.182.20 [ep: 0 10e1780113570031029837k20687rmwp Subscribe 13693] {50} [4729]
[2020.04.06 11:57:13:078] EVENT,sending to p 46.105.182.20 (1429) [ep: 0 10e1780113570031029837k20687rmwp Subscribe 13693] {50} [4729]
[2020.04.06 11:57:13:078] SEND,  to 46.105.182.20:5060 from port 14292
PUBLISH sip:JSSIP@46.105.182.20 SIP/2.0
Via: SIP/2.0/UDP 176.100.192.174:14292;rport;branch=z9hG4bK-17p6851759334577550507r
From: <sip:JSSIP@46.105.182.20>;tag=12g5766551949498344696m
To: <sip:JSSIP@46.105.182.20>;tag=115739651308838
Call-ID: 10e1780113570031029837k20687rmwp
CSeq: 1214 PUBLISH
Max-Forwards: 70
Event: presence
Authorization: Digest username="JSSIP",realm="VoipSwitch",nonce="26d22f2610635f1f06111109704573914114",uri="sip:JSSIP@46.105.182.20",response="35a40236d65cbe2e3842a0dc3865f6d5",algorithm=MD5
Contact: <sip:JSSIP@176.100.192.174:14292>
X-UT: j
User-Agent: MizuJVoIP/7.6.19061
X-FinalUA: JVoIP
X-DeviceID: aPBag5AG
Supported: replaces
Allow: ACK,PRACK,BYE,CANCEL,INVITE,UPDATE,MESSAGE,INFO,OPTIONS,SUBSCRIBE,NOTIFY,REFER
Accept: multipart/related, application/rlmi+xml, application/pidf+xml
Content-Type: application/pidf+xml
Content-Length: 537

<?xml version="1.0" encoding="UTF-8"?>
<presence
xmlns="urn:ietf:params:xml:ns:pidf"
xmlns:dm="urn:ietf:params:xml:ns:pidf:data-model"
xmlns:c="urn:ietf:params:xml:ns:pidf:cipid"
xmlns:ts="urn:ietf:params:xml:ns:pidf:terminal-status"
entity="pres:JSSIP@176.100.192.174:14292">
<note>Available</note>
<tuple id="tbasic">
<status>
<basic>Open</basic>
<ts:state>Available</ts:state>
</status>
<contact>sip:JSSIP@176.100.192.174:14292</contact>
<note>Available</note>
<c:display-name></c:display-name>
</tuple>
</presence>
 [mt: 13693] {50} [4729]
[2020.04.06 11:57:13:109] REC,46.105.182.20:5060 on port 14292
SIP/2.0 100 Trying
CSeq: 12249 SUBSCRIBE
Via: SIP/2.0/UDP 192.168.55.101:14292;rport;branch=z9hG4bK-17p3150962404020312735r
From: <sip:JSSIP@46.105.182.20>;tag=16g2770579009458563649m
Call-ID: 14e1830458300895194552k20688rmwp
To: <sip:+@46.105.182.20>
Contact: <sip:+@46.105.182.20>
Content-Length: 0

 [mt: 13693] {50} [4729]
[2020.04.06 11:57:13:110] EVENT,existing ep found for message [mt: 13693] {50} [4729]
[2020.04.06 11:57:13:110] EVENT,cseq set1 to 12249 [ep: 0 14e1830458300895194552k20688rmwp Subscribe 13693] {50} [4729]
[2020.04.06 11:57:13:110] REC,46.105.182.20:5060 on port 14292
SIP/2.0 100 Trying
CSeq: 1214 PUBLISH
Via: SIP/2.0/UDP 192.168.55.101:14292;rport;branch=z9hG4bK-17p6851759334577550507r
From: <sip:JSSIP@46.105.182.20>;tag=12g5766551949498344696m
Call-ID: 10e1780113570031029837k20687rmwp
To: <sip:JSSIP@46.105.182.20>;tag=115739651308838
Content-Length: 0

 [mt: 13693] {50} [4729]
[2020.04.06 11:57:13:110] EVENT,existing ep found for message [mt: 13693] {50} [4729]
[2020.04.06 11:57:13:110] EVENT,cseq set1 to 1214 [ep: 0 10e1780113570031029837k20687rmwp Subscribe 13693] {50} [4729]
[2020.04.06 11:57:13:110] EVENT,set totag 1 to: 115739651308838 [ep: 0 10e1780113570031029837k20687rmwp Subscribe 13693] {50} [4729]
[2020.04.06 11:57:13:111] REC,46.105.182.20:5060 on port 14292
SIP/2.0 200 OK
CSeq: 1214 PUBLISH
Via: SIP/2.0/UDP 192.168.55.101:14292;rport;branch=z9hG4bK-17p6851759334577550507r
From: <sip:JSSIP@46.105.182.20>;tag=12g5766551949498344696m
Call-ID: 10e1780113570031029837k20687rmwp
To: <sip:JSSIP@46.105.182.20>;tag=115739651308838
Expires: 3600
Content-Length: 0
SIP-ETag: 115739651308869

 [mt: 13693] {50} [4729]
[2020.04.06 11:57:13:111] EVENT,existing ep found for message [mt: 13693] {50} [4729]
[2020.04.06 11:57:13:111] EVENT,cseq set1 to 1214 [ep: 0 10e1780113570031029837k20687rmwp Subscribe 13693] {50} [4729]
[2020.04.06 11:57:13:111] EVENT,ok for presence publish [ep: 0 10e1780113570031029837k20687rmwp Subscribe 13693] {50} [4729]
[2020.04.06 11:57:13:111] REC,46.105.182.20:5060 on port 14292
SIP/2.0 403 Forbidden
CSeq: 12249 SUBSCRIBE
Via: SIP/2.0/UDP 192.168.55.101:14292;rport;branch=z9hG4bK-17p3150962404020312735r
From: <sip:JSSIP@46.105.182.20>;tag=16g2770579009458563649m
Call-ID: 14e1830458300895194552k20688rmwp
To: <sip:+@46.105.182.20>;tag=115739651308869
Contact: <sip:JSSIP@46.105.182.20>
Expires: 3600
Content-Length: 0

 [mt: 13693] {50} [4729]
[2020.04.06 11:57:13:112] EVENT,existing ep found for message [mt: 13693] {50} [4729]
[2020.04.06 11:57:13:112] EVENT,cseq set1 to 12249 [ep: 0 14e1830458300895194552k20688rmwp Subscribe 13693] {50} [4729]
[2020.04.06 11:57:13:112] EVENT,set totag 1 to: 115739651308869 [ep: 0 14e1830458300895194552k20688rmwp Subscribe 13693] {50} [4729]
[2020.04.06 11:57:13:112] EVENT, presence subscribe rejected [ep: 0 14e1830458300895194552k20688rmwp Subscribe 13693] {50} [4729]
[2020.04.06 11:57:13:112] EVENT,NOTIFICATION_XRSS,PRESENCE,+,Unknown {50} [4729]
[2020.04.06 11:57:14:207] EVENT, (voicerecording) nothing to save b 0 0 [ep: 1 2e4354309789759581837k20685rmwp Finished 13693] {45} [4729]
[2020.04.06 11:57:16:172] EVENT,save settings wpb [wpmain] {34} [4729]
[2020.04.06 11:57:16:172] EVENT,save settings wp [wpmain] {34} [4729]
[2020.04.06 11:57:16:172] EVENT,write file D:\My Project\SIP_FELGDENT\mwphonedata\u87wpcfg.dat (211) {34} [4729]
[2020.04.06 11:57:16:173] EVENT,config saved 211 [wpmain] {34} [4729]
[2020.04.06 11:57:16:800] EVENT,NOTIFICATION_XRSS,STOP,api {41} [4729]
[2020.04.06 11:57:16:803] EVENT,Applet stop 1 [wpmain] {41} [4729]
[2020.04.06 11:57:16:804] EVENT wpapi closing [wpapi] {42} [4729]
[2020.04.06 11:57:16:805] EVENT,playsound oop 0 ep 2e4354309789759581837k20685rmwp 1 , 0 false false false false [wpmain] {41} [4729]
[2020.04.06 11:57:16:805] EVENT,stop file playback [wpmain] {41} [4729]
[2020.04.06 11:57:16:805] EVENT,no playback in progress [wpmain] {41} [4729]
[2020.04.06 11:57:16:806] EVENT,start thread MAsyncTask 53 {53} [4729]
[2020.04.06 11:57:16:806] EVENT,async task start 18 {53} [4729]
[2020.04.06 11:57:16:806] EVENT,async task 18 finished in 0 msec {53} [4729]
[2020.04.06 11:57:16:807] EVENT,save settings wpb [wpmain] {41} [4729]
[2020.04.06 11:57:16:807] EVENT,save settings wp [wpmain] {41} [4729]
[2020.04.06 11:57:16:807] EVENT,write file D:\My Project\SIP_FELGDENT\mwphonedata\u87wpcfg.dat (211) {41} [4729]
[2020.04.06 11:57:16:807] EVENT,config saved 211 [wpmain] {41} [4729]
[2020.04.06 11:57:16:808] EVENT,write file D:\My Project\SIP_FELGDENT\mwphonedata\u87wpcfgex.dat (2503) {41} [4729]
[2020.04.06 11:57:16:808] EVENT,apicall API_Unregister [wpmain] {41} [4729]
[2020.04.06 11:57:16:808] EVENT,Applet unregister [wpmain] {41} [4729]
[2020.04.06 11:57:16:808] EVENT,NOTIFICATION_XRSS,STATUS,-1,Unregister... {41} [4729]
[2020.04.06 11:57:16:808] EVENT,save settings wpb [wpmain] {41} [4729]
[2020.04.06 11:57:16:809] EVENT,save settings wp [wpmain] {41} [4729]
[2020.04.06 11:57:16:809] EVENT,config saved 211 [wpmain] {41} [4729]
[2020.04.06 11:57:16:809] EVENT,playsound oop 0 ep 2e4354309789759581837k20685rmwp 1 , 0 false false false false [wpmain] {41} [4729]
[2020.04.06 11:57:16:810] EVENT,stop file playback [wpmain] {41} [4729]
[2020.04.06 11:57:16:810] EVENT,no playback in progress [wpmain] {41} [4729]
[2020.04.06 11:57:16:810] EVENT,unregister event finished [wpmain] {41} [4729]
[2020.04.06 11:57:16:810] EVENT,NOTIFICATION_XRSS,STATUS,-1,Unregistered. {41} [4729]
[2020.04.06 11:57:16:811] EVENT,start thread MAsyncTask 54 {54} [4729]
[2020.04.06 11:57:16:811] EVENT,async task start 18 {54} [4729]
[2020.04.06 11:57:16:811] EVENT,async task 18 finished in 0 msec {54} [4729]
[2020.04.06 11:57:16:842] EVENT,exec command 4 line: 1 params: sipstackterminate   elapsed 41 [mt: 13693] {45} [4729]
[2020.04.06 11:57:16:842] EVENT, hangup line 1 because sipstackterminate [mt: 13693] {45} [4729]
[2020.04.06 11:57:16:842] EVENT, line 1 not found on hangup b. Will guess [mt: 13693] {45} [4729]
[2020.04.06 11:57:16:843] EVENT, nothing to hangup [mt: 13693] {45} [4729]
[2020.04.06 11:57:16:844] EVENT,exec command 16 line: 1 params:  stop  elapsed 43 [mt: 13693] {45} [4729]
[2020.04.06 11:57:16:844] EVENT,unregistering old endpoint [mt: 13693] {45} [4729]
[2020.04.06 11:57:16:844] EVENT,unregistering [ep: 0 6e5339952673226462088k20686rmwp Registering 13693] {45} [4729]
